book_id,wikipedia_url
3047,https://en.wikipedia.org/wiki/Life%27s_Little_Ironies
3065,https://de.wikipedia.org/wiki/R%C3%B6mische_Geschichte_(Theodor_Mommsen)
3097,https://en.wikipedia.org/wiki/The_Wanderer%27s_Necklace
3133,"https://en.wikipedia.org/wiki/Baddeck,_and_That_Sort_of_Thing"
3172,https://en.wikipedia.org/wiki/Fenimore_Cooper%27s_Literary_Offenses
3174,https://en.wikipedia.org/wiki/A_Dog%27s_Tale
3175,https://en.wikipedia.org/wiki/Mark_Twain%27s_(Burlesque)_Autobiography_and_First_Romance
3327,https://en.wikipedia.org/wiki/Bulfinch%27s_Mythology
3333,https://en.wikipedia.org/wiki/Os_Lus%C3%ADadas
3364,https://en.wikipedia.org/wiki/Dr._Breen%27s_Practice
3375,https://en.wikipedia.org/wiki/The_Landlord_at_Lion%27s_Head
3376,https://en.wikipedia.org/wiki/The_Landlord_at_Lion%27s_Head
3418,https://en.wikipedia.org/wiki/Captain_Brassbound%27s_Conversion
3484,https://en.wikipedia.org/wiki/O%27Flaherty_V.C.
3485,"https://en.wikipedia.org/wiki/Annajanska,_the_Bolshevik_Empress"
3495,https://en.wikipedia.org/wiki/The_King_of_Ireland%27s_Son
3499,https://en.wikipedia.org/wiki/Jo%27s_Boys
3529,"https://en.wikipedia.org/wiki/Letters_Written_in_Sweden,_Norway,_and_Denmark"
3612,https://en.wikipedia.org/wiki/John_Bull%27s_Other_Island
3621,https://en.wikipedia.org/wiki/Peg_o%27_My_Heart_(play)
3622,https://en.wikipedia.org/wiki/The_Duke%27s_Children
3638,https://en.wikipedia.org/wiki/The_Devil%27s_Disciple_(play)
3645,https://en.wikipedia.org/wiki/L%27%C3%89tourdi_ou_les_Contretemps
3655,https://en.wikipedia.org/wiki/The_Parent%27s_Assistant
3681,https://en.wikipedia.org/wiki/Mr._Crewe%27s_Career
3682,https://en.wikipedia.org/wiki/Mr._Crewe%27s_Career
3683,https://en.wikipedia.org/wiki/Mr._Crewe%27s_Career
3684,https://en.wikipedia.org/wiki/Mr._Crewe%27s_Career
3748,https://en.wikipedia.org/wiki/Journey_to_the_Centre_of_the_Earth
3771,https://en.wikipedia.org/wiki/Cynthia%27s_Revels
3800,https://en.wikipedia.org/wiki/Spinoza%27s_Ethics
3804,https://en.wikipedia.org/wiki/Pierre_and_Jean
3991,https://en.wikipedia.org/wiki/Madame_Chrysanth%C3%A8me_(novel)
3992,https://en.wikipedia.org/wiki/Madame_Chrysanth%C3%A8me_(novel)
3993,https://en.wikipedia.org/wiki/Madame_Chrysanth%C3%A8me_(novel)
3994,https://en.wikipedia.org/wiki/Madame_Chrysanth%C3%A8me_(novel)
3995,https://en.wikipedia.org/wiki/Madame_Chrysanth%C3%A8me_(novel)
4011,"https://en.wikipedia.org/wiki/Epic%C5%93ne,_or_The_Silent_Woman"
4014,"https://en.wikipedia.org/wiki/Ars%C3%A8ne_Lupin,_Gentleman_Burglar"
4224,https://en.wikipedia.org/wiki/Mr_Hogarth%27s_Will
4278,https://en.wikipedia.org/wiki/An_Introduction_to_Yoga
4281,https://en.wikipedia.org/wiki/Helen%27s_Babies_(novel)
4297,https://en.wikipedia.org/wiki/Eve%27s_Ransom
4299,https://en.wikipedia.org/wiki/The_Whirlpool_(Gissing_novel)
4312,https://en.wikipedia.org/wiki/A_Life%27s_Morning
4344,https://en.wikipedia.org/wiki/The_Captain%27s_Daughter
4453,https://en.wikipedia.org/wiki/Beauchamp%27s_Career
4454,https://en.wikipedia.org/wiki/Beauchamp%27s_Career
4455,https://en.wikipedia.org/wiki/Beauchamp%27s_Career
4456,https://en.wikipedia.org/wiki/Beauchamp%27s_Career
4457,https://en.wikipedia.org/wiki/Beauchamp%27s_Career
4458,https://en.wikipedia.org/wiki/Beauchamp%27s_Career
4459,https://en.wikipedia.org/wiki/Beauchamp%27s_Career
4460,https://en.wikipedia.org/wiki/Beauchamp%27s_Career
4502,https://de.wikipedia.org/wiki/Die_mehreren_Wehm%C3%BCller_und_ungarischen_Nationalgesichter
4503,https://de.wikipedia.org/wiki/Geschichte_vom_braven_Kasperl_und_dem_sch%C3%B6nen_Annerl
4503,https://en.wikipedia.org/wiki/Geschichte_vom_braven_Kasperl_und_dem_sch%C3%B6nen_Annerl
4504,https://de.wikipedia.org/wiki/Aus_der_Chronika_eines_fahrenden_Sch%C3%BClers
4505,https://de.wikipedia.org/wiki/Die_drei_N%C3%BCsse_(Brentano)
4520,https://en.wikipedia.org/wiki/Aaron%27s_Rod_(novel)
4534,https://en.wikipedia.org/wiki/Sylvia%27s_Lovers
4535,https://en.wikipedia.org/wiki/Sylvia%27s_Lovers
